years,records,search_engine,publication,technology
2001,192,ACM,A,ML
2002,209,ACM,A,ML
2003,311,ACM,A,ML
2004,359,ACM,A,ML
2005,450,ACM,A,ML
2006,509,ACM,A,ML
2007,560,ACM,A,ML
2008,657,ACM,A,ML
2009,719,ACM,A,ML
2010,788,ACM,A,ML
2011,916,ACM,A,ML
2012,974,ACM,A,ML
2013,934,ACM,A,ML
2014,968,ACM,A,ML
2015,1160,ACM,A,ML
2016,1507,ACM,A,ML
2017,1615,ACM,A,ML
2018,611,ACM,A,ML
1992,1,ACM,KB,GCD
1993,0,ACM,KB,GCD
1994,0,ACM,KB,GCD
1995,0,ACM,KB,GCD
1996,0,ACM,KB,GCD
1997,0,ACM,KB,GCD
1998,1,ACM,KB,GCD
1999,0,ACM,KB,GCD
2000,1,ACM,KB,GCD
2001,1,ACM,KB,GCD
2002,5,ACM,KB,GCD
2003,0,ACM,KB,GCD
2004,2,ACM,KB,GCD
2005,1,ACM,KB,GCD
2006,2,ACM,KB,GCD
2007,4,ACM,KB,GCD
2008,3,ACM,KB,GCD
2009,7,ACM,KB,GCD
2010,9,ACM,KB,GCD
2011,25,ACM,KB,GCD
2012,28,ACM,KB,GCD
2013,51,ACM,KB,GCD
2014,56,ACM,KB,GCD
2015,29,ACM,KB,GCD
2016,28,ACM,KB,GCD
2017,18,ACM,KB,GCD
2018,10,ACM,KB,GCD
1987,1,ACM,A,GCD
1988,0,ACM,A,GCD
1989,0,ACM,A,GCD
1990,0,ACM,A,GCD
1991,0,ACM,A,GCD
1992,0,ACM,A,GCD
1993,0,ACM,A,GCD
1994,0,ACM,A,GCD
1995,0,ACM,A,GCD
1996,0,ACM,A,GCD
1997,0,ACM,A,GCD
1998,0,ACM,A,GCD
1999,0,ACM,A,GCD
2000,1,ACM,A,GCD
2001,1,ACM,A,GCD
2002,0,ACM,A,GCD
2003,0,ACM,A,GCD
2004,2,ACM,A,GCD
2005,0,ACM,A,GCD
2006,0,ACM,A,GCD
2007,0,ACM,A,GCD
2008,2,ACM,A,GCD
2009,0,ACM,A,GCD
2010,1,ACM,A,GCD
2011,5,ACM,A,GCD
2012,4,ACM,A,GCD
2013,9,ACM,A,GCD
2014,8,ACM,A,GCD
2015,8,ACM,A,GCD
2016,15,ACM,A,GCD
2017,15,ACM,A,GCD
2018,5,ACM,A,GCD
1997,2,ACM,KB,CH
1998,0,ACM,KB,CH
1999,1,ACM,KB,CH
2000,1,ACM,KB,CH
2001,4,ACM,KB,CH
2002,5,ACM,KB,CH
2003,6,ACM,KB,CH
2004,5,ACM,KB,CH
2005,17,ACM,KB,CH
2006,52,ACM,KB,CH
2007,110,ACM,KB,CH
2008,103,ACM,KB,CH
2009,171,ACM,KB,CH
2010,151,ACM,KB,CH
2011,138,ACM,KB,CH
2012,160,ACM,KB,CH
2013,112,ACM,KB,CH
2014,119,ACM,KB,CH
2015,165,ACM,KB,CH
2016,133,ACM,KB,CH
2017,99,ACM,KB,CH
2018,59,ACM,KB,CH
1997,1,ACM,A,CH
1998,2,ACM,A,CH
1999,1,ACM,A,CH
2000,2,ACM,A,CH
2001,0,ACM,A,CH
2002,8,ACM,A,CH
2003,7,ACM,A,CH
2004,10,ACM,A,CH
2005,10,ACM,A,CH
2006,9,ACM,A,CH
2007,15,ACM,A,CH
2008,16,ACM,A,CH
2009,50,ACM,A,CH
2010,40,ACM,A,CH
2011,43,ACM,A,CH
2012,43,ACM,A,CH
2013,56,ACM,A,CH
2014,35,ACM,A,CH
2015,60,ACM,A,CH
2016,73,ACM,A,CH
2017,87,ACM,A,CH
2018,42,ACM,A,CH
2014,1,ACM,KB,CEA
1987,1,ACM,A,CEA
2014,1,ACM,KB,B
2015,4,ACM,KB,B
2016,29,ACM,KB,B
2017,103,ACM,KB,B
2018,126,ACM,KB,B
2016,8,ACM,A,B
2017,18,ACM,A,B
2018,32,ACM,A,B
1982,1,IEEE,A,SR
1983,0,IEEE,A,SR
1984,1,IEEE,A,SR
1985,0,IEEE,A,SR
1986,1,IEEE,A,SR
1987,0,IEEE,A,SR
1988,3,IEEE,A,SR
1989,1,IEEE,A,SR
1990,1,IEEE,A,SR
1991,3,IEEE,A,SR
1992,2,IEEE,A,SR
1993,2,IEEE,A,SR
1994,2,IEEE,A,SR
1995,1,IEEE,A,SR
1996,5,IEEE,A,SR
1997,2,IEEE,A,SR
1998,1,IEEE,A,SR
1999,1,IEEE,A,SR
2000,11,IEEE,A,SR
2001,11,IEEE,A,SR
2002,12,IEEE,A,SR
2003,15,IEEE,A,SR
2004,23,IEEE,A,SR
2005,39,IEEE,A,SR
2006,20,IEEE,A,SR
2007,52,IEEE,A,SR
2008,49,IEEE,A,SR
2009,52,IEEE,A,SR
2010,58,IEEE,A,SR
2011,39,IEEE,A,SR
2012,43,IEEE,A,SR
2013,51,IEEE,A,SR
2014,70,IEEE,A,SR
2015,72,IEEE,A,SR
2016,92,IEEE,A,SR
2017,121,IEEE,A,SR
2018,104,IEEE,A,SR
1983,1,IEEE,KB,SR
1984,0,IEEE,KB,SR
1985,0,IEEE,KB,SR
1986,2,IEEE,KB,SR
1987,5,IEEE,KB,SR
1988,5,IEEE,KB,SR
1989,13,IEEE,KB,SR
1990,11,IEEE,KB,SR
1991,15,IEEE,KB,SR
1992,10,IEEE,KB,SR
1993,17,IEEE,KB,SR
1994,32,IEEE,KB,SR
1995,29,IEEE,KB,SR
1996,32,IEEE,KB,SR
1997,51,IEEE,KB,SR
1998,53,IEEE,KB,SR
1999,71,IEEE,KB,SR
2000,100,IEEE,KB,SR
2001,118,IEEE,KB,SR
2002,170,IEEE,KB,SR
2003,244,IEEE,KB,SR
2004,398,IEEE,KB,SR
2005,437,IEEE,KB,SR
2006,568,IEEE,KB,SR
2007,609,IEEE,KB,SR
2008,526,IEEE,KB,SR
2009,771,IEEE,KB,SR
2010,647,IEEE,KB,SR
2011,685,IEEE,KB,SR
2012,833,IEEE,KB,SR
2013,910,IEEE,KB,SR
2014,1132,IEEE,KB,SR
2015,1233,IEEE,KB,SR
2016,1320,IEEE,KB,SR
2017,1274,IEEE,KB,SR
2018,199,IEEE,KB,SR
2018,1,IEEE,A,SDX
2017,1,IEEE,KB,SDX
2016,1,IEEE,A,SDS
2014,1,IEEE,KB,SDS
2015,3,IEEE,KB,SDS
2016,7,IEEE,KB,SDS
2017,10,IEEE,KB,SDS
2018,2,IEEE,KB,SDS
1997,1,IEEE,KB,NE
1998,1,IEEE,KB,NE
1999,1,IEEE,KB,NE
2000,0,IEEE,KB,NE
2001,5,IEEE,KB,NE
2002,5,IEEE,KB,NE
2003,21,IEEE,KB,NE
2004,31,IEEE,KB,NE
2005,26,IEEE,KB,NE
2006,51,IEEE,KB,NE
2007,40,IEEE,KB,NE
2008,76,IEEE,KB,NE
2009,58,IEEE,KB,NE
2010,96,IEEE,KB,NE
2011,95,IEEE,KB,NE
2012,83,IEEE,KB,NE
2013,85,IEEE,KB,NE
2014,92,IEEE,KB,NE
2015,74,IEEE,KB,NE
2016,86,IEEE,KB,NE
2017,70,IEEE,KB,NE
2018,19,IEEE,KB,NE
2002,4,IEEE,A,NE
2003,5,IEEE,A,NE
2004,8,IEEE,A,NE
2005,9,IEEE,A,NE
2006,18,IEEE,A,NE
2007,18,IEEE,A,NE
2008,17,IEEE,A,NE
2009,11,IEEE,A,NE
2010,11,IEEE,A,NE
2011,33,IEEE,A,NE
2012,15,IEEE,A,NE
2013,17,IEEE,A,NE
2014,19,IEEE,A,NE
2015,28,IEEE,A,NE
2016,20,IEEE,A,NE
2017,22,IEEE,A,NE
2018,20,IEEE,A,NE
2013,1,IEEE,KB,MDC
